correo,colegio,calendario,comuna,telefono
cristianosion@hotmail.com,centransversalo educacional carreraistiano sion,A,comuna 13,4042086
bolivarianainteractivo@gmail.com,colegio comunitario tecnico ustransversalial unidad bolivariana,A,comuna 13,3044302287
fundacionporlapazsamaleon@gmail.com,colegio tecnico comercial san marcos de leon,A,comuna 13,4374258
colegionsprovidencia@gmail.com,colegio nuestransversala seora de la providencia,A,comuna 13,3017881766
colegiotecnicosansebastian@hotmail.com,colegio tecnico san sebastian,A,comuna 8,3187126126
col.gepah.cali@gmail.com,colegio general pedro alcntara herrn,A,comuna 6,3147583416
celdavinci@celdavinci.edu.co,centransversalo educativo leonardo da vinci,A,comuna 15,3016222810
icetmarroquin@gmail.com,instituto de educacion tecnica icet,A,comuna 14,3165281708
centroeducativoalfayomega1998@gmail.com,centransversalo educativo alfa y omega,A,comuna 14,6023574285
funvoluntaddedios@yahoo.es,instituto tcnico rj del saber,A,comuna 13,4052754
fenmandela2020@gmail.com,fundacion escolar nelson mandela,A,comuna 21,3136171569
cejuancarlosgarzon@gmail.com,centransversalo educativo juan carlos garzon,A,comuna 21,3213537146
liceocerrosdelvalle@gmail.com,liceo cerros del valle,A,comuna 20,3217922165
icit64@gmail.com,instituto comercial ustransversalial y tecnologico icit,A,comuna 18,3173683264
colegiociudadcordoba@hotmail.com,colegio ciudad crdoba,A,comuna 15,3731398
fucomabe2007@hotmail.com,colegio comunitario fucomabe,A,comuna 14,3168599483
centralmadrid2008@hotmail.com,colegio centransversalal madrid,A,comuna 13,4042087
rectoria@liceoporvenir.edu.co,liceo porvenir sede poblado ii,A,comuna 13,3152876127
secretaria.general@corpoedu.edu.co,corporacin educativa popular liceo de la amistad,A,comuna 1,3044864891
santotomas_phr@hotmail.com,instituto tecnico comercial santo tomas,A,comuna 21,4030111
internosantotomas@gmail.com,instituto tecnico comercial santo tomas,A,comuna 21,4030111
inmode12@yahoo.es,instituto moderno desepaz,A,comuna 21,3154663617
institutomoderno@gmail.com.co,instituto moderno,A,comuna 18,3301340
colegiolapaz14@hotmail.com,colegio nuestransversala seora de la paz,A,comuna 14,4042087
lucelly40@gmail.com,colegio nio jesus de praga,A,comuna 14,3127761895
lifaranorte22@gmail.com,liceo farallones del norte,A,comuna 6,3163566399
colegiopolitecnicosiglo21@hotmail.com,colegio politecnico siglo xxi,A,comuna 18,3108487003
liceojuancamilo@gmail.com,liceo juan camilo,A,comuna 14,3184524370
liceonapolitano@yahoo.com,liceo napolitano,A,comuna 8,6024013379
colegsenderodelfuturo@hotmail.com,colegio el sendero del futuro,A,comuna 13,3208009
centecrectoria@gmail.com,centransversalo de educacion en tecnologia centec - crdoba,A,comuna 15,3184828637
liceosan@hotmail.com,liceo san antonio,A,comuna 8,3017284941
emperadortres3@gmail.com,liceo mixto emperador de cali sede iii,A,comuna 21,6023411264
colnuevoeden1@gmail.com,colegio nuevo eden,A,comuna 10,3234297533
fundecce@gmail.com,colegio cultural enmanuel,A,comuna 14,3164756752
fundaospina@gmail.com,liceo mis primeros transversaliunfos,A,comuna 15,4363612
americaliceo2@gmail.com,liceo las americas,A,comuna 14,6023995234
liceomodernolosrobles@gmail.com,liceo moderno los robles 2,A,comuna 13,3148344331
lliceonera@hotmail.com,liceo nueva era,A,comuna 15,3162565604
arizalanazareno2011@hotmail.com,colegio mixto jesus de nazareno,A,comuna 15,3174860726
tanajenny@hotmail.com,centransversalo educativo camino hacia el futuro,A,comuna 14,4019765
colegiocastell1@yahoo.com,colegio castell,A,comuna 18,3183693084
haibortiz@gmail.com,fundacion educativa jesus de nazareth,A,comuna 19,3155409396
nestor.acevedo@aspaen.edu.co,aspaen colegio juanamb,B,comuna 22,6025551170
harold.villamil@aspaen.edu.co,aspaen colegio juanamb,B,comuna 22,6025551170
colsjchampagnat.cali@css.org.co,colegio san jose - champagnat,B,comuna 19,5140708
secretaria@sagradafamilia.edu.co,colegio de la sagrada familia,B,comuna 22,3137197112
convivencia@sagradafamilia.edu.co,colegio de la sagrada familia,B,comuna 22,3137197112
info@liceobenalcazar.edu.co,liceo benalcazar,B,comuna 2,8931402
vilma.lucio@aspaen.edu.co,aspaen liceo tacur,B,comuna 22,3003961398
registroacademico@ciudadelapresentacion.edu.co,colegio ciudadela educativa la presentacin,B,comuna 52,3182801603
directivascolegiohermanomiguel@gmail.com,instituto tecnico hermano miguel,B,comuna 3,602 4008654
coordinacionict15@gmail.com,instituto camilo terreros,B,comuna 6,3152106034
colegiotcmos@gmail.com,centransversalo docente tomas cipriano mosquera,B,comuna 17,6023323789
csam-cali@hotmail.com,colegio san alberto magno,B,comuna 9,6023707171
info@colegiolaconsolacioncali.edu.co,colegio nuestransversala seora de la consolacion,B,comuna 17,3904863
cosfacali@cosfacali.edu.co,colegio san francisco de asis,B,comuna 8,3165292210
funcolsihc2000@arquidiocesanos.edu.co,colegio santa isabel de hungria - ciudad 2000,B,comuna 16,3165260723
colegiomiraflores@comfandi.com.co,colegio comfandi miraflores,B,comuna 19,316 513 4295
secrescolegiomiraflores@comfandi.edu.co,colegio comfandi miraflores,B,comuna 19,316 513 4295
linabravo@comfandi.com.co,colegio comfandi miraflores,B,comuna 19,316 513 4295
colegionuevosalomia@hotmail.com,colegio nuevo salomia,B,comuna 5,6024474830
mayoralferezreal@yahoo.com,colegio mayor alferez real,B,comuna 22,3128197474
incoval2005@hotmail.com,instituto comercial del valle incoval,B,comuna 19,3124298642
paholaovejitas@gmail.com,jardin infantil mis ovejitas,B,comuna 11,3714030
iegalileogalilei@hotmail.com,instituto educativo galileo galilei,B,comuna 5,3156434962
cmsv2006@hotmail.com,colegio mixto san vicente,B,comuna 4,3022529184
s.academica@coldianaoese.edu.co,colegio bilingue diana oese,B,comuna 54,3176482091
secretarialawrencekohlberg@hotmail.com,colegio mixto lawrence kohlberg,B,comuna 17,311 3302117
institutoestanislaozuleta2019@gmail.com,instituto estanislao zuleta,B,comuna 7,3146030721
sacademicalosandessf@gmail.com,colegio los andes san fernando,B,comuna 19,6025240274
cedo.santaanita.edu@hotmail.com,centransversalo docente santa anita,B,comuna 19,3122130788
institutograncolombia08@gmail.com,instituto gran colombia,B,comuna 13,3206131850
colbilwas@hotmail.com,colegio bilingue washington,B,comuna 22,3160489854
colegioreyescatolicoscali@gmail.com,colegio reyes catolicos,B,comuna 17,3727330
li-pana@hotmail.com,instituto ipana,B,comuna 14,3216272995
colegiolosangelessanfernando@gmail.com,colegio los angeles de san fernando,B,comuna 19,3205476060
institutoserinternacionalsur@hotmail.com,instituto ser internacional,B,comuna 17,3107428387
mocaro47@gmail.com,colegio tecnico y militar almirante colon de cali,B,comuna 5,3147584160
rectoria@colegiomilitaralmirantecolondecali.edu.co,colegio tecnico y militar almirante colon de cali,B,comuna 5,3147584160
cmcp.1963@gmail.com,colegio miguel camacho perea,B,comuna 4,316 8658614
colegiocread@gmail.com,colegio carreraead,B,comuna 11,3107862075
institutocolombia1@gmail.com,instituto colombia,B,comuna 3,3505910544
escuelamaternalmigranmundo@hotmail.com,escuela maternal y jardin infantil mi gran mundo,B,comuna 2,3165205028
mcaceres1214@gmail.com,colegio mayor san francisco de asis,B,comuna 22,3158425622
angelmator@hotmail.com,colegio mayor san francisco de asis,B,comuna 22,3158425622
mattyliceo@gmail.com,liceo carlos castransversalo saavenidaedra,B,comuna 10,6023356264
organizacional@berchmans.edu.co,colegio berchmans,B,comuna 22,3176699082
rectoria@colrosariocali.edu.co,colegio nuestransversala seora del rosario,B,comuna 22,6025551137
colmarianitascali@yahoo.es,colegio santa mariana de jess,B,comuna 19,3166005668
secretaria.academica@colegiomarianitascali.edu.co,colegio santa mariana de jess,B,comuna 19,3166005668
rector@fraydamian.edu.co,colegio franciscano de fray damian gonzalez,B,comuna 52,5504413
secretaria@ccau.edu.co,corporacion colegio americas unidas,B,comuna 19,3105305514
corpocau@yahoo.es,corporacion colegio americas unidas,B,comuna 19,3105305514
secretariaacademica@colamer.edu.co,colegio americano,B,comuna 18,3325840
sanluiscali@fmsnor.org,colegio de san luis gonzaga,B,comuna 2,3183305156
convivencia@pioxii.edu.co,colegio franciscano de po xii,B,comuna 22,3185314492
sec.academica@claret.edu.co,colegio san antonio maria callearet,B,comuna 22,5552075
sacademica@lacordaire.edu.co,colegio bilingue lacordaire,B,comuna 18,3126731652
rectora@colegio-stellamaris.edu.co,colegio santa maria stella maris,B,comuna 19,3865780
correo@colegiocoomeva.edu.co,colegio cooperativo coomeva,B,comuna 22,3103747411
secretariaacademica@inglesdelosandes.edu.co,colegio bilinge ingles de los andes,B,comuna 52,3175172455
rectoria@colegioecologicoscout.edu.co,colegio ecologico scout,B,comuna 22,3166913665
nelsonlopezmosquera@gmail.com,colegio ecologico scout,B,comuna 22,3166913665
administracion@colegioekklesia.edu.co,colegio ekklesia,B,comuna 20,3041697810
comunicaciones@colegioencuentros.edu.co,centransversalo educativo etievan - colegio encuentransversalos,B,comuna 22,3113103288
direccion@aleman.edu.co,corporacin cultural colegio alemn,B,comuna 22,3504121724
fundelideres@fundelideres.com,fundacion educativa lideres,B,comuna 22,5552535
rectoria@lacolina.edu.co,colegio gimnasio la colina,B,comuna 2,3153383305
secretariaacademica@vernotschool.edu.co,vernot school,B,comuna 54,3168306264
colegiocentraldecomerciosas@gmail.com,colegio centransversalal de comercio sas,B,comuna 18,6023991364
rectoria@colegiomilitarjoseacevedoygomez.co,colegio militar jose acevedo y gomez,B,comuna 8,6023742424
rectoria@colegiohispano.edu.co,colegio hispanoamericano,B,comuna 2,3116348291
secretaria.academica@colegiohispano.edu.co,colegio hispanoamericano,B,comuna 2,3116348291
colegioleonistico@leonisticolamerced.edu.co,colegio leonstico la merced,B,comuna 2,3104325423
colegioleonisticolamerced@hotmail.com,colegio leonstico la merced,B,comuna 2,3104325423
secretariacademica@funpadua.org,colegio mayor san antonio de padua,B,comuna 22,3226515621
rectoria@colegiowaldorfcali.edu.co,colegio luis horacio gomez,B,comuna 22,5551093
academica@colegiowaldorfcali.edu.co,colegio luis horacio gomez,B,comuna 22,5551093
comasaca@arquidiocesanos.edu.co,colegio mayor santiago de cali,B,comuna 8,3156292790
sacademica@sagradocorazoncali.edu.co,colegio bilinge del sagrado corazon de jesus - valle del lili,B,comuna 22,3107482365
colbender@hotmail.com,colegio lauretta bender,B,comuna 22,625551311
rectoria@ccbcali.edu.co,colegio colombo britnico,B,comuna 22,5555385
angelamariagomez@comfandi.com.co,colegio comfandi municipal,B,comuna 8,3165133757
colegioadultoscali@comfandi.com.co,colegio de la caja de compensacion familiar del valle del cauca comfandi,B,comuna 3,3165135521
secretariaacademica@cambridgecali.edu.co,redcol - colegio nuevo cambridiagonale cali,B,comuna 22,3152624233
colegioguias@hotmail.com,colegio guias,B,comuna 19,3057120121
secretariaacademicacla@gmail.com,colegio los andes,B,comuna 17,3185572798
jardininfantilpinturitas@gmail.com,jardin infantil y guarderia pinturitas,B,comuna 17,3937435
liceosanjuanxxiiibto@gmail.com,liceo san juan xxiii,B,comuna 2,3154825215
colgracia@colgracia.edu.co,colegio nuestransversala seora de la gracia,B,comuna 22,3176676024
informacion@colegiofreinet.edu.co,colegio freinet,B,comuna 54,3182817842
academica@farallones.edu.co,gimnasio los farallones valle del lili,B,comuna 22,3165292073
info@montessoricali.edu.co,colegio bilingue montessori,B,comuna 22,318 2529072
secretaria.academica@colegiocatolicocali.edu.co,colegio catolico rosalba santander,B,comuna 19,5520795
rectoria@elpinar.edu.co,colegio el pinar,B,comuna 22,3187305812
secretaria@thebritishschoolcali.edu.co,colegio britnico-the british school,B,comuna 22,5557742
academico@liceoquial.edu.co,liceo quial,B,comuna 22,3154882835
liceobellasuiza@gmail.com,liceo bella suiza,B,comuna 20,3113893226
sanferey@hotmail.com,colegio san fernando rey,B,comuna 19,3156997852
rectoria@colegiobolivar.edu.co,colegio bolivar,B,comuna 22,4855050
secretariaacademica@philadelphiainternacional.edu.co,colegio philadelphia internacional,B,comuna 22,6025190206
secretariaacademica@lancaster.edu.co,colegio bilinge lancaster,B,comuna 19,6023243960
secretaria@colegiojuvenilia.edu.co,colegio y centransversalo de arte juvenilia,B,comuna 22,6024851288
direccion@senderoslili.edu.co,colegio senderos del lili,B,comuna 17,6023171147
rectoriacolegiopensarte@gmail.com,colegio personalizado pensarte,B,comuna 2,3163751264
info@jardintianorayliceolosalpes.edu.co,jardn tia nora y liceo los alpes,B,comuna 2,3160257838
colegioandinocali@yahoo.com,colegio andino,B,comuna 2,3105061156
secretaria@colegioangloamericano.edu.co,colegio anglo americano,B,comuna 22,3175897163
secretariaacademica@ccah.edu.co,colegio campestransversale anglo hispano,B,comuna 22,6025551047
rectoriacb@colegiobennett.edu.co,colegio bennett,B,comuna 22,3167588413
colegiovaloresilama@hotmail.com,colegio valores ilama,B,comuna 22,5558155
secreacademica@laarboleda.edu.co,redcol - arboleda school,B,comuna 22,6025543405
colegioideas@yahoo.com,colegio ideas,B,comuna 20,3155723756
info@colegioelbosque.com,colegio el bosque,B,comuna 2,6026641557
licomtecvalle@hotmail.com,liceo comercial y tecnologico del valle,B,comuna 11,3183795127
colegioitr@gmail.com,instituto tecnico la riviera,B,comuna 5,6023921722
anglodelvalle1994@gmail.com,liceo anglo del valle,B,comuna 17,3321582
liceo8953@hotmail.com,liceo nuestransversala seora de lourdes,B,comuna 17,300 6526278
mariaelvinia@hotmail.com,col tecnico maria elvinia,B,comuna 5,6024495565
delimca@gmail.com,centransversalo de educacion ividualizada,B,comuna 8,3113720534
institutotecnicosalomia@gmail.com,instituto tecnico salomia,B,comuna 4,3122540563
sec.academica@santadorotea.edu.co,colegio callearetiano santa dorotea,B,comuna 19,3137970005
sanjorefugio@hotmail.com,colegio san jos,B,comuna 19,3116877676
secretariasanjoserefugio@gmail.com,colegio san jos,B,comuna 19,3116877676
rectoria@laanunciacioncali.edu.co,colegio nuestransversala seora de la anunciacion,B,comuna 8,3145791394
direcciongeneral@colegioelamparo.edu.co,colegio el amparo,B,comuna 20,3164999928
colegioelamparocali@hotmail.com,colegio el amparo,B,comuna 20,3164999928
diana2010fmm@yahoo.es,colegio el amparo,B,comuna 20,3164999928
secretaria.iti@salesianos.edu.co,instituto tcnico ustransversalial san juan bosco,B,comuna 3,3146189538
col_chiquinquira@arquidiocesanos.edu.co,colegio de nuestransversala seora de chiquinquira,B,comuna 20,3185241934
csanambrosio2010@hotmail.com,colegio san ambrosio de milan,B,comuna 5,602 4473544
icar@arquidiocesanos.edu.co,instituto comercial arquidiocesano,B,comuna 4,3156292790
colpasantiagoapostol@arquidiocesanos.edu.co,colegio parroquial santiago apostol,B,comuna 11,4850227
colparsanjuanbautista@arquidiocesanos.edu.co,colegio parroquial san juan bautista,B,comuna 10,6024850227
colegiopib8@gmail.com,colegio bautista,B,comuna 3,3163872947
colnsg@arquidiocesanos.edu.co,colegio parroquial nuestransversala seora de guadalupe,B,comuna 12,3115134356
rector.spclaver@arquidiocesanos.edu.co,colegio parroquial san pedro calleavenidaer,B,comuna 11,3164806820
nuestrasenoradelosandes@arquidiocesanos.edu.co,colegio parroquial nuestransversala seora de los andes,B,comuna 5,315 6292790
coordinacionparaiso@colegiosminutodedios.edu.co,colegio la presentacion el paraiso,B,comuna 12,3133105266
secrecolegiocalipso@comfandi.edu.co,colegio comfandi calipso,B,comuna 13,4866565
colegioelprado@comfandi.com.co,colegio comfandi el prado,B,comuna 11,6024866565
contacto@colegiosanpedroclaver.edu.co,colegio san pedro calleavenidaer,B,comuna 5,6024061216
administrador@colegiogoretty.edu.co,colegio tecnico comercial santa maria goretty,B,comuna 12,3087364
coordinacion@colegioleondegreiff.edu.co,colegio leon de greiff,B,comuna 8,3128332092
rectoria.colsantrin@gmail.com,colegio de la santsima transversalinidad,B,comuna 9,3178723342
tesoreria.cst.cies@cies.edu.co,colegio de la santsima transversalinidad,B,comuna 9,3178723342
