original_danado,corregido,colegio
colegiosantateresitadeavenidaila@gmail.com,colegiosantateresitadeavila@gmail.com,colegio santa teresita de avenidaila
comunicaciones@colegioencuentransversalos.edu.co,comunicaciones@colegioencuentros.edu.co,centransversalo educativo etievan - colegio encuentransversalos
contacto@colegiosanpedrocalleavenidaer.edu.co,contacto@colegiosanpedroclaver.edu.co,colegio san pedro calleavenidaer
dir.administransversalativa@michin.edu.co,dir.administrativa@michin.edu.co,jardin infantil michin
director.centransversalocomunitarioasis@usbcali.edu.co,director.centrocomunitarioasis@usbcali.edu.co,jardin infantil anexo facultad de educacion u.s.b.
emperadortransversales3@gmail.com,emperadortres3@gmail.com,liceo mixto emperador de cali sede iii
escueladelatransversalinidad@hotmail.com,escueladelatrinidad@hotmail.com,escuela de la transversalinidad
estransversalellita.catalina@gmail.com,estrellita.catalina@gmail.com,maternal y jardin infantil estransversalellita de mar
horizontesdelfuturo.secarreraetaria@gmail.com,horizontesdelfuturo.secretaria@gmail.com,centransversalo docente horizontes del futuro
icetcentransversalo@gmail.com,icetcentro@gmail.com,corporacion educativa instituto colombiano de estudios tecnicos ce - icet
institutosintransversalaemcali806@hotmail.com,institutosintraemcali806@hotmail.com,instituto sintransversalaemcali
jardincarreraecer@hotmail.com,jardincrecer@hotmail.com,centransversalo de estimulacion precoz carreraecer
jardincm@callearet.edu.co,jardincm@claret.edu.co,jardin parroquial corazon de maria
jardinmariavenidaictoria@hotmail.com,jardinmariavictoria@hotmail.com,jardin infantil maria victoria
jcarreraojas@comfenalcovalle.com.co,jcrojas@comfenalcovalle.com.co,instituto de educacion comfenalco valle
juegosartesyletransversalas@hotmail.com,juegosartesyletras@hotmail.com,jardn infantil juegos artes y letransversalas
lcalleospinos@hotmail.com,lclospinos@hotmail.com,liceo campestransversale los pinos
liceocampestransversalepulgarcitocali@gmail.com,liceocampestrepulgarcitocali@gmail.com,liceo campestransversale pulgarcito
liceocanavenidaeral@hotmail.com,liceocanaveral@hotmail.com,liceo caavenidaeral de occidente
liceocarreraistianodejandohuella@live.com,liceocristianodejandohuella@live.com,liceo carreraistiano dejando huella
liceolamagiadecarreraear01@gmail.com,liceolamagiadecrear01@gmail.com,liceo la magia de carreraear
linabravenidao@comfandi.com.co,linabravo@comfandi.com.co,colegio comfandi miraflores
lmentescarreraeativasenaccion@hotmail.com,lmentescreativasenaccion@hotmail.com,liceo infantil mentes carreraeativas en accion
marcallea77@hotmail.com,marcla77@hotmail.com,instituto colombiano de bachillerato
maternalidecarreraear@hotmail.com,maternalidecrear@hotmail.com,maternal y jardin infantil ideas carreraeativas
nuestransversalasenoradelosandes@arquidiocesanos.edu.co,nuestrasenoradelosandes@arquidiocesanos.edu.co,colegio parroquial nuestransversala seora de los andes
nuestransversalasg2020@gmail.com,nuestrasg2020@gmail.com,colegio nuestransversala seora de guadalajara
nuestransversaloamanecer2009@gmail.com,nuestroamanecer2009@gmail.com,centransversalo educativo nuestransversalo amanecer
oficialtallerdelostransversalavenidaiesos@gmail.com,oficialtallerdelostraviesos@gmail.com,liceo taller de los transversalavenidaiesos abp
patransversalicia_pedraza2010@hotmail.com,patricia_pedraza2010@hotmail.com,liceo mixto rayo de luz
rector.spcalleavenidaer@arquidiocesanos.edu.co,rector.spclaver@arquidiocesanos.edu.co,colegio parroquial san pedro calleavenidaer
rectoria.colsantransversalin@gmail.com,rectoria.colsantrin@gmail.com,colegio de la santsima transversalinidad
registransversaloacademico@ciudadelapresentacion.edu.co,registroacademico@ciudadelapresentacion.edu.co,colegio ciudadela educativa la presentacin
sec.academica@callearet.edu.co,sec.academica@claret.edu.co,colegio san antonio maria callearet
secarreraeacademica@cced.edu.co,secreacademica@cced.edu.co,centransversalo de capacitacion y educacion dirigida-cced
secarreraeacademica@laarboleda.edu.co,secreacademica@laarboleda.edu.co,redcol - arboleda school
secarreraecolegiocalipso@comfandi.edu.co,secrecolegiocalipso@comfandi.edu.co,colegio comfandi calipso
secarreraescolegiomiraflores@comfandi.edu.co,secrescolegiomiraflores@comfandi.edu.co,colegio comfandi miraflores
secarreraetaria.academica@callean.edu.co,secretaria.academica@clan.edu.co,colegio los angeles del norte
secarreraetaria.academica@callean.edu.co,secretaria.academica@clan.edu.co,colegio los angeles del norte de occidente
secarreraetaria.academica@colegiocatolicocali.edu.co,secretaria.academica@colegiocatolicocali.edu.co,colegio catolico rosalba santander
secarreraetaria.academica@colegiohispano.edu.co,secretaria.academica@colegiohispano.edu.co,colegio hispanoamericano
secarreraetaria.academica@colegiomarianitascali.edu.co,secretaria.academica@colegiomarianitascali.edu.co,colegio santa mariana de jess
secarreraetaria.centransversalo@institutoandresbello.edu.co,secretaria.centro@institutoandresbello.edu.co,instituto andres bello colombo americano
secarreraetaria.general@corpoedu.edu.co,secretaria.general@corpoedu.edu.co,corporacin educativa popular liceo de la amistad
secarreraetaria.iti@salesianos.edu.co,secretaria.iti@salesianos.edu.co,instituto tcnico ustransversalial san juan bosco
secarreraetaria.tayana@aspaen.edu.co,secretaria.tayana@aspaen.edu.co,aspaen guarderia preescolar tayana
secarreraetaria@casitadebelen.org,secretaria@casitadebelen.org,centransversalo docente casita de belen
secarreraetaria@ccau.edu.co,secretaria@ccau.edu.co,corporacion colegio americas unidas
secarreraetaria@colegioangloamericano.edu.co,secretaria@colegioangloamericano.edu.co,colegio anglo americano
secarreraetaria@colegiojuvenilia.edu.co,secretaria@colegiojuvenilia.edu.co,colegio y centransversalo de arte juvenilia
secarreraetaria@lsuperiorjuanpablo2.edu.co,secretaria@lsuperiorjuanpablo2.edu.co,liceo superior juan pablo ii
secarreraetaria@pequenosgenios.edu.co,secretaria@pequenosgenios.edu.co,jardin infantil pequeos genios internacional
secarreraetaria@sagradafamilia.edu.co,secretaria@sagradafamilia.edu.co,colegio de la sagrada familia
secarreraetaria@thebritishschoolcali.edu.co,secretaria@thebritishschoolcali.edu.co,colegio britnico-the british school
secarreraetariaacademica@cambridiagonalecali.edu.co,secretariaacademica@cambridgecali.edu.co,redcol - colegio nuevo cambridiagonale cali
secarreraetariaacademica@ccah.edu.co,secretariaacademica@ccah.edu.co,colegio campestransversale anglo hispano
secarreraetariaacademica@colamer.edu.co,secretariaacademica@colamer.edu.co,colegio americano
secarreraetariaacademica@corpobolvalle.edu.co,secretariaacademica@corpobolvalle.edu.co,instituto bolivariano esdiseos del valle
secarreraetariaacademica@inglesdelosandes.edu.co,secretariaacademica@inglesdelosandes.edu.co,colegio bilinge ingles de los andes
secarreraetariaacademica@lancaster.edu.co,secretariaacademica@lancaster.edu.co,colegio bilinge lancaster
secarreraetariaacademica@philadelphiainternacional.edu.co,secretariaacademica@philadelphiainternacional.edu.co,colegio philadelphia internacional
secarreraetariaacademica@vernotschool.edu.co,secretariaacademica@vernotschool.edu.co,vernot school
secarreraetariaacademicacallea@gmail.com,secretariaacademicacla@gmail.com,colegio los andes
secarreraetariacademica@funpadua.org,secretariacademica@funpadua.org,colegio mayor san antonio de padua
secarreraetarialawrencekohlberg@hotmail.com,secretarialawrencekohlberg@hotmail.com,colegio mixto lawrence kohlberg
secarreraetariasanjoserefugio@gmail.com,secretariasanjoserefugio@gmail.com,colegio san jos
secarreraetariasenderitos@gmail.com,secretariasenderitos@gmail.com,centransversalo educativo senderitos
secarreraetariatercermilenio@gmail.com,secretariatercermilenio@gmail.com,liceo mayor mixto tercer milenio
socicarreraisto@gmail.com,socicristo@gmail.com,colegio sociedad de carreraisto
transversalavenidaesuraswinny@gmail.com,travesuraswinny@gmail.com,jardin infantil transversalavenidaesuras de winny
transversalijigo26@gmail.com,trijigo26@gmail.com,liceo la transversalinidad
unmundoporcarreraear22@gmail.com,unmundoporcrear22@gmail.com,jardin infantil un mundo por carreraear
